"Date","Price","Open","High","Low","Vol.","Change %"
"09-03-1995","863.48","863.48","863.48","863.48","","1.39%"
"08-03-1995","851.65","851.65","851.65","851.65","","-0.15%"
"07-03-1995","852.93","852.93","852.93","852.93","","-0.63%"
"06-03-1995","858.33","858.33","858.33","858.33","","-0.26%"
"03-03-1995","860.60","860.60","860.60","860.60","","0.16%"
"02-03-1995","859.26","859.26","859.26","859.26","","0.60%"
"01-03-1995","854.14","854.14","854.14","854.14","","1.34%"
"28-02-1995","842.85","842.85","842.85","842.85","","1.18%"
"24-02-1995","832.98","832.98","832.98","832.98","","-0.70%"
"23-02-1995","838.86","838.86","838.86","838.86","","3.18%"
"22-02-1995","812.98","812.98","812.98","812.98","","3.11%"
"21-02-1995","788.49","788.49","788.49","788.49","","-1.50%"
"20-02-1995","800.46","800.46","800.46","800.46","","-1.77%"
"17-02-1995","814.85","814.85","814.85","814.85","","-1.06%"
"16-02-1995","823.60","823.60","823.60","823.60","","-1.19%"
"15-02-1995","833.53","833.53","833.53","833.53","","-1.66%"
"14-02-1995","847.61","847.61","847.61","847.61","","-0.33%"
"13-02-1995","850.40","850.40","850.40","850.40","","-0.39%"
"10-02-1995","853.75","853.75","853.75","853.75","","-0.53%"
"09-02-1995","858.27","858.27","858.27","858.27","","-0.44%"
"08-02-1995","862.03","862.03","862.03","862.03","","-0.39%"
"07-02-1995","865.42","865.42","865.42","865.42","","-0.87%"
"06-02-1995","872.99","872.99","872.99","872.99","","-0.91%"
"03-02-1995","880.99","880.99","880.99","880.99","","-0.75%"
"02-02-1995","887.64","887.64","887.64","887.64","","0.40%"
"01-02-1995","884.08","884.08","884.08","884.08","","0.14%"
"31-01-1995","882.83","882.83","882.83","882.83","","-0.05%"
"30-01-1995","883.27","883.27","883.27","883.27","","0.61%"
"27-01-1995","877.89","877.89","877.89","877.89","","1.18%"
"25-01-1995","867.69","867.69","867.69","867.69","","0.42%"
"24-01-1995","864.10","864.10","864.10","864.10","","0.04%"
"23-01-1995","863.72","863.72","863.72","863.72","","-2.21%"
"20-01-1995","883.28","883.28","883.28","883.28","","-2.27%"
"19-01-1995","903.82","903.82","903.82","903.82","","-0.66%"
"18-01-1995","909.85","909.85","909.85","909.85","","0.22%"
"17-01-1995","907.82","907.82","907.82","907.82","","0.04%"
"16-01-1995","907.45","907.45","907.45","907.45","","0.49%"
"13-01-1995","903.00","903.00","903.00","903.00","","1.00%"
"12-01-1995","894.08","894.08","894.08","894.08","","0.11%"
"11-01-1995","893.14","893.14","893.14","893.14","","-0.94%"
"10-01-1995","901.64","901.64","901.64","901.64","","-2.17%"
"09-01-1995","921.65","921.65","921.65","921.65","","-1.90%"
"06-01-1995","939.46","939.46","939.46","939.46","","-0.93%"
"05-01-1995","948.26","948.26","948.26","948.26","","-1.11%"
"04-01-1995","958.89","958.89","958.89","958.89","","-0.88%"
"03-01-1995","967.43","967.43","967.43","967.43","","-0.48%"
"02-01-1995","972.10","972.10","972.10","972.10","","-0.19%"
"23-12-1994","973.91","973.91","973.91","973.91","","0.53%"
"22-12-1994","968.79","968.79","968.79","968.79","","-0.15%"
"21-12-1994","970.28","970.28","970.28","970.28","","0.28%"
"20-12-1994","967.60","967.60","967.60","967.60","","-0.79%"
"16-12-1994","975.28","975.28","975.28","975.28","","1.46%"
"15-12-1994","961.20","961.20","961.20","961.20","","1.08%"
"14-12-1994","950.97","950.97","950.97","950.97","","0.58%"
"13-12-1994","945.44","945.44","945.44","945.44","","-1.40%"
"12-12-1994","958.89","958.89","958.89","958.89","","-1.93%"
"09-12-1994","977.79","977.79","977.79","977.79","","0.05%"
"08-12-1994","977.29","977.29","977.29","977.29","","-1.03%"
"07-12-1994","987.48","987.48","987.48","987.48","","-1.97%"
"06-12-1994","1,007.29","1,007.29","1,007.29","1,007.29","","-1.09%"
"05-12-1994","1,018.36","1,018.36","1,018.36","1,018.36","","-0.73%"
"02-12-1994","1,025.81","1,025.81","1,025.81","1,025.81","","-0.19%"
"01-12-1994","1,027.76","1,027.76","1,027.76","1,027.76","","-0.75%"
"30-11-1994","1,035.55","1,035.55","1,035.55","1,035.55","","0.02%"
"29-11-1994","1,035.35","1,035.35","1,035.35","1,035.35","","0.57%"
"25-11-1994","1,029.44","1,029.44","1,029.44","1,029.44","","0.71%"
