"Date","Price","Open","High","Low","Vol.","Change %"
"27-03-2020","3,566.95","3,670.55","3,738.90","3,550.20","11.14B","0.46%"
"26-03-2020","3,550.65","3,500.00","3,646.40","3,462.60","11.90B","3.17%"
"25-03-2020","3,441.55","3,275.25","3,456.95","3,268.95","8.45B","3.05%"
"24-03-2020","3,339.65","3,447.15","3,505.55","3,202.90","9.83B","-0.98%"
"23-03-2020","3,372.65","3,543.25","3,603.65","3,368.20","8.00B","-13.19%"
"20-03-2020","3,885.25","3,817.10","3,961.25","3,770.50","15.50B","2.37%"
"19-03-2020","3,795.45","3,808.45","3,875.40","3,671.10","14.19B","-5.56%"
"18-03-2020","4,018.95","4,329.65","4,373.25","3,998.20","13.62B","-6.27%"
"17-03-2020","4,287.90","4,401.30","4,456.50","4,278.95","14.71B","-2.96%"
"16-03-2020","4,418.90","4,505.45","4,533.35","4,400.75","14.70B","-6.41%"
"13-03-2020","4,721.60","4,216.15","4,741.70","3,978.45","14.95B","1.08%"
"12-03-2020","4,671.00","4,900.05","4,927.35","4,620.30","15.30B","-9.55%"
"11-03-2020","5,164.00","5,134.60","5,250.25","5,125.85","14.46B","-0.12%"
"09-03-2020","5,169.95","5,319.50","5,327.15","5,124.00","13.13B","-4.98%"
"06-03-2020","5,440.80","5,362.25","5,455.55","5,321.70","13.42B","-2.55%"
"05-03-2020","5,583.35","5,605.25","5,633.25","5,550.75","14.41B","0.12%"
"04-03-2020","5,576.60","5,715.60","5,730.35","5,497.60","19.24B","-1.99%"
"03-03-2020","5,689.90","5,662.50","5,711.65","5,594.70","22.50B","1.48%"
"02-03-2020","5,607.10","5,770.35","5,810.95","5,571.30","22.47B","-1.20%"
"28-02-2020","5,675.05","5,758.95","5,773.80","5,650.35","18.01B","-4.01%"
"27-02-2020","5,912.05","5,990.65","5,996.50","5,861.05","16.59B","-1.33%"
"26-02-2020","5,991.70","6,007.45","6,038.90","5,969.90","16.37B","-0.57%"
"25-02-2020","6,026.10","6,063.70","6,090.40","6,005.05","14.07B","-0.24%"
"24-02-2020","6,040.55","6,133.65","6,141.75","6,035.70","13.49B","-1.97%"
"20-02-2020","6,162.00","6,151.70","6,196.65","6,143.00","21.84B","0.36%"
"19-02-2020","6,139.80","6,094.55","6,147.20","6,090.35","15.55B","1.32%"
"18-02-2020","6,059.70","6,076.85","6,080.55","5,972.35","13.13B","-0.35%"
"17-02-2020","6,081.00","6,176.60","6,183.65","6,072.95","11.26B","-1.28%"
